,SBD,Toan,Ngu van,Ngoai ngu,Vat ly,Hoa hoc,Sinh hoc,Lich su,Dia ly,GDCD
356,05000362,5.40,7.00,4.00,,,,2.25,7.00,6.25
357,05000363,3.80,6.50,2.20,,,,5.25,6.75,7.50
358,05000364,5.00,6.00,3.80,2.25,4.25,5.00,,,
359,05000365,4.60,6.75,2.80,,,,5.50,7.75,9.25
360,05000366,1.40,5.50,3.20,,,,4.25,4.75,6.75
361,05000367,2.20,3.75,,,,,2.75,,
362,05000368,5.00,7.00,3.80,,,,7.00,7.00,8.25
363,05000369,2.40,6.00,3.80,,,,3.25,5.75,5.25
364,05000370,2.60,5.50,3.60,,,,4.50,5.25,7.75
365,05000371,2.20,5.00,,,,,3.00,4.00,
366,05000372,,6.50,,,,,6.00,7.50,
367,05000373,8.80,4.50,,,,,9.50,,
368,05000374,1.80,6.50,2.80,,,,4.00,6.75,5.75
369,05000375,3.20,6.75,3.00,,,,3.75,5.50,7.25
370,05000376,6.00,5.50,4.00,5.00,4.25,4.75,,,
371,05000377,2.80,5.50,2.60,,,,3.50,5.75,8.00
372,05000378,1.80,5.00,,,,,4.50,6.75,
373,05000379,2.80,7.00,2.00,,,,4.25,6.00,8.25
374,05000380,5.80,8.50,6.00,,,,4.50,8.00,6.75
375,05000381,5.40,,2.40,2.25,,,,,
376,05000382,2.60,5.25,6.80,,,,2.75,6.00,8.25
377,05000383,6.60,,,6.25,5.75,,,,
378,05000384,4.60,5.25,3.40,,,,3.25,6.00,6.25
379,05000385,4.60,,2.60,3.50,,,,,
380,05000386,5.00,8.75,4.40,,,,3.75,6.75,7.25
381,05000387,3.00,5.25,1.20,,,,3.00,4.25,5.75
382,05000388,6.60,4.00,6.20,,,,3.25,6.00,5.00
383,05000389,8.20,6.00,5.40,6.50,6.00,3.00,,,
384,05000390,4.00,5.00,3.20,2.75,3.75,3.50,,,
385,05000391,6.40,5.50,4.00,7.00,6.00,4.00,,,
386,05000392,5.40,7.00,4.80,,,,4.75,7.00,7.25
387,05000393,5.40,8.50,4.00,,,,2.25,3.75,6.75
388,05000394,6.20,6.25,5.60,5.75,6.25,6.50,,,
389,05000395,2.20,,,,3.75,3.75,,,
390,05000396,5.00,8.50,3.60,,,,5.25,7.25,8.00
391,05000397,5.80,8.00,4.80,5.50,4.25,4.25,,,
392,05000398,8.20,8.50,4.40,,,,7.00,7.75,7.25
393,05000399,5.60,5.50,3.60,2.00,3.00,5.00,,,
394,05000400,9.60,7.50,5.20,9.50,9.50,9.75,,,
395,05000401,3.80,8.00,5.80,,,,8.50,8.50,7.50
